RECORDING_SESSION_LABEL	TRIAL_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X
LN_20Apr2015_14-22	Trial: 1	NONE	403.80
LN_20Apr2015_14-22	Trial: 2	AFTER	400.00
LN_20Apr2015_14-22	Trial: 2	BEFORE	401.70
LN_20Apr2015_14-22	Trial: 3	AFTER	401.90
LN_20Apr2015_14-22	Trial: 3	BEFORE	393.30
LN_20Apr2015_14-22	Trial: 4	NONE	398.90
LN_20Apr2015_14-22	Trial: 5	AFTER	399.20
LN_20Apr2015_14-22	Trial: 5	BEFORE	392.90
LN_20Apr2015_14-22	Trial: 6	AFTER	404.90
LN_20Apr2015_14-22	Trial: 6	BEFORE	404.50
LN_20Apr2015_14-22	Trial: 6	NONE	406.30
LN_20Apr2015_14-22	Trial: 7	NONE	388.60
LN_20Apr2015_14-22	Trial: 8	AFTER	398.40
LN_20Apr2015_14-22	Trial: 8	BEFORE	405.40
LN_20Apr2015_14-22	Trial: 9	AFTER	402.90
LN_20Apr2015_14-22	Trial: 9	BEFORE	399.40
LN_20Apr2015_14-22	Trial: 10	AFTER	400.40
LN_20Apr2015_14-22	Trial: 10	BEFORE	405.30
LN_20Apr2015_14-22	Trial: 11	NONE	398.80
LN_20Apr2015_14-22	Trial: 12	AFTER	396.00
LN_20Apr2015_14-22	Trial: 12	BEFORE	393.50
LN_20Apr2015_14-22	Trial: 13	NONE	400.20
LN_20Apr2015_14-22	Trial: 13	NONE	402.20
LN_20Apr2015_14-22	Trial: 14	NONE	395.90
LN_20Apr2015_14-22	Trial: 15	NONE	403.90
LN_20Apr2015_14-22	Trial: 16	NONE	396.70
LN_20Apr2015_14-22	Trial: 17	NONE	399.30
LN_20Apr2015_14-22	Trial: 18	NONE	394.90
LN_20Apr2015_14-22	Trial: 19	NONE	397.70
LN_20Apr2015_14-22	Trial: 20	NONE	401.20
LN_20Apr2015_14-22	Trial: 21	NONE	389.30
LN_20Apr2015_14-22	Trial: 21	NONE	400.80
LN_20Apr2015_14-22	Trial: 22	NONE	394.30
LN_20Apr2015_14-22	Trial: 23	NONE	396.10
LN_20Apr2015_14-22	Trial: 24	AFTER	400.90
LN_20Apr2015_14-22	Trial: 24	BEFORE	401.60
LN_20Apr2015_14-22	Trial: 25	NONE	402.00
LN_20Apr2015_14-22	Trial: 26	NONE	400.90
LN_20Apr2015_14-22	Trial: 27	NONE	400.50
LN_20Apr2015_14-22	Trial: 28	NONE	397.50
LN_20Apr2015_14-22	Trial: 29	NONE	402.50
LN_20Apr2015_14-22	Trial: 30	NONE	397.50
LN_20Apr2015_14-22	Trial: 31	NONE	398.60
LN_20Apr2015_14-22	Trial: 32	NONE	397.90
LN_20Apr2015_14-22	Trial: 33	NONE	396.80
LN_20Apr2015_14-22	Trial: 34	NONE	395.00
LN_20Apr2015_14-22	Trial: 35	NONE	396.60
LN_20Apr2015_14-22	Trial: 36	NONE	396.50
LN_20Apr2015_14-22	Trial: 37	AFTER	400.90
LN_20Apr2015_14-22	Trial: 37	BEFORE	409.80
LN_20Apr2015_14-22	Trial: 38	NONE	399.60
LN_20Apr2015_14-22	Trial: 39	AFTER	399.00
