RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX
CF	NONE	402.00	318.80	1
CF	NONE	400.10	306.90	2
CF	NONE	399.80	311.60	2
CF	NONE	399.40	304.20	3
CF	NONE	387.90	318.40	3
CF	NONE	393.00	306.90	4
CF	NONE	394.30	306.40	5
CF	NONE	394.30	305.60	6
CF	NONE	404.00	312.90	6
CF	NONE	401.20	298.10	7
CF	NONE	404.80	306.10	7
CF	NONE	414.60	311.90	7
CF	NONE	394.10	304.80	8
CF	NONE	393.50	299.80	8
CF	NONE	399.80	301.10	9
CF	NONE	394.10	305.90	9
CF	NONE	389.60	317.40	9
CF	NONE	399.90	320.00	9
CF	NONE	398.70	305.80	10
CF	NONE	411.20	302.40	10
CF	NONE	405.50	297.60	10
CF	NONE	428.50	296.00	10
CF	NONE	406.20	293.30	10
CF	NONE	402.40	303.30	11
CF	NONE	391.50	299.30	11
CF	NONE	408.00	302.80	11
CF	NONE	399.00	304.30	12
CF	NONE	391.70	299.50	12
CF	NONE	401.40	299.10	12
CF	NONE	386.80	309.10	12
CF	NONE	388.40	311.10	13
CF	NONE	408.20	319.80	13
CF	NONE	392.70	312.70	13
CF	NONE	409.10	292.90	13
CF	NONE	395.40	307.50	14
CF	NONE	388.70	311.90	15
CF	NONE	400.80	304.70	16
CF	NONE	397.50	308.40	16
CF	NONE	397.50	304.00	17
CF	NONE	381.00	304.50	17
CF	NONE	401.70	304.20	18
CF	NONE	389.10	304.70	19
CF	NONE	401.70	299.80	20
CF	NONE	405.40	291.20	20
CF	NONE	401.50	308.20	20
CF	NONE	399.30	299.50	21
CF	NONE	399.70	291.00	21
CF	NONE	407.80	296.50	21
CF	NONE	400.30	298.90	22
CF	NONE	411.30	298.80	22
CF	NONE	403.60	301.00	22
CF	NONE	392.50	304.00	23
CF	NONE	386.30	300.80	23
CF	NONE	380.30	300.40	23
CF	NONE	376.70	317.70	23
CF	NONE	397.50	307.10	24
CF	NONE	387.60	300.70	24
CF	NONE	399.30	299.00	25
CF	NONE	382.80	307.60	26
CF	NONE	388.70	303.10	26
CF	NONE	404.10	299.10	27
CF	NONE	395.80	305.80	27
CF	NONE	399.10	313.30	28
CF	NONE	390.10	317.50	28
CF	NONE	392.50	307.20	28
CF	NONE	395.00	305.40	29
CF	NONE	395.70	300.00	29
CF	NONE	393.80	296.80	30
CF	NONE	386.40	301.50	30
CF	NONE	394.20	312.90	30
CF	NONE	398.20	299.80	31
CF	NONE	383.20	299.20	31
CF	NONE	392.70	298.50	32
CF	NONE	379.10	286.50	32
CF	NONE	391.90	300.90	32
CF	NONE	399.90	306.40	33
CF	NONE	406.00	305.30	33
CF	NONE	408.80	316.50	33
CF	NONE	395.20	304.20	34
CF	NONE	390.30	302.50	35
CF	NONE	386.90	297.30	35
CF	NONE	419.60	301.40	35
CF	NONE	393.00	301.80	35
CF	NONE	403.20	296.60	36
CF	NONE	398.70	310.40	36
CF	NONE	400.70	317.60	37
CF	NONE	397.80	294.30	38
CF	NONE	391.50	301.90	39
CF	NONE	391.90	301.40	40
CF	NONE	395.00	296.60	40
CF	NONE	393.30	298.50	41
CF	NONE	398.50	304.20	42
CF	NONE	400.40	305.60	42
CF	NONE	395.70	303.70	43
CF	NONE	383.00	290.00	43
CF	NONE	396.60	296.90	43
CF	NONE	384.10	305.80	43
CF	NONE	398.40	304.00	44
CF	NONE	400.70	289.40	44
CF	NONE	393.80	292.40	44
CF	NONE	398.10	300.50	45
CF	NONE	397.10	289.70	45
CF	NONE	397.20	287.20	45
CF	NONE	390.30	303.90	45
CF	NONE	399.50	306.70	46
CF	NONE	403.00	301.80	46
CF	NONE	403.40	305.10	46
CF	NONE	394.20	303.70	46
CF	NONE	399.00	305.10	47
CF	NONE	399.60	307.50	47
CF	NONE	401.10	314.90	47
CF	NONE	403.10	310.90	47
CF	NONE	404.40	298.60	48
CF	NONE	411.10	302.20	48
CF	NONE	396.20	304.40	49
CF	NONE	398.20	301.10	49
CF	NONE	393.70	302.40	49
CF	NONE	409.10	297.20	49
CF	NONE	400.70	307.30	50
CF	NONE	413.40	300.50	50
CF	NONE	400.80	307.70	51
CF	NONE	404.80	300.10	51
CF	NONE	405.10	311.10	51
CF	NONE	392.30	303.90	52
CF	NONE	377.50	288.90	52
CF	NONE	384.10	299.30	52
CF	NONE	407.60	310.20	53
CF	NONE	394.70	309.80	54
CF	NONE	393.90	303.50	55
CF	NONE	406.30	297.40	55
CF	NONE	398.70	298.30	56
CF	NONE	382.00	300.60	56
CF	NONE	380.10	279.90	56
CF	NONE	399.90	299.80	57
CF	NONE	403.30	308.70	57
CF	NONE	391.60	296.30	58
CF	NONE	392.20	293.70	58
CF	NONE	398.70	311.50	58
CF	NONE	398.30	307.80	59
CF	NONE	390.70	307.20	59
CF	NONE	411.30	311.00	59
CF	NONE	400.00	304.80	60
CF	NONE	396.50	299.10	60
CF	NONE	386.50	298.90	60
CF	NONE	388.60	305.10	60
CF	NONE	398.50	306.00	61
CF	NONE	395.00	303.60	61
CF	NONE	397.10	310.60	61
CF	NONE	398.90	302.90	62
CF	NONE	392.70	294.30	62
CF	NONE	391.30	304.10	62
CF	NONE	406.20	318.80	62
CF	NONE	397.40	296.10	63
CF	NONE	385.80	305.80	63
CF	NONE	410.00	294.50	63
CF	NONE	380.30	304.70	63
CF	NONE	395.30	302.40	64
CF	NONE	403.20	310.80	64
