RECORDING_SESSION_LABEL	TRIAL_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X
ANON	Trial: 1	NONE	395.60
ANON	Trial: 2	NONE	408.00
ANON	Trial: 3	NONE	399.20
ANON	Trial: 4	NONE	402.50
ANON	Trial: 5	NONE	405.70
ANON	Trial: 6	NONE	391.20
ANON	Trial: 6	NONE	395.40
ANON	Trial: 7	NONE	403.40
ANON	Trial: 8	NONE	400.10
ANON	Trial: 9	NONE	400.50
ANON	Trial: 10	NONE	401.00
ANON	Trial: 11	NONE	405.90
ANON	Trial: 12	NONE	395.10
ANON	Trial: 13	NONE	403.50
ANON	Trial: 14	NONE	396.30
ANON	Trial: 15	NONE	406.70
ANON	Trial: 15	NONE	377.50
ANON	Trial: 15	NONE	399.30
ANON	Trial: 16	NONE	399.50
ANON	Trial: 17	NONE	392.70
ANON	Trial: 17	NONE	397.00
ANON	Trial: 18	NONE	404.70
ANON	Trial: 19	NONE	398.20
ANON	Trial: 20	NONE	396.70
ANON	Trial: 20	NONE	393.40
ANON	Trial: 20	NONE	394.70
ANON	Trial: 21	NONE	399.80
ANON	Trial: 21	NONE	421.60
ANON	Trial: 21	NONE	394.00
ANON	Trial: 22	NONE	401.80
ANON	Trial: 23	NONE	402.30
ANON	Trial: 24	NONE	409.50
ANON	Trial: 24	NONE	410.10
ANON	Trial: 25	NONE	398.00
ANON	Trial: 25	NONE	399.90
ANON	Trial: 25	NONE	411.00
ANON	Trial: 26	NONE	401.40
ANON	Trial: 26	NONE	407.40
ANON	Trial: 27	NONE	395.60
ANON	Trial: 27	NONE	400.90
ANON	Trial: 27	NONE	444.70
ANON	Trial: 27	NONE	402.70
ANON	Trial: 28	NONE	399.50
ANON	Trial: 29	NONE	405.70
ANON	Trial: 30	NONE	400.90
ANON	Trial: 31	NONE	399.80
ANON	Trial: 31	NONE	396.40
ANON	Trial: 31	NONE	398.20
ANON	Trial: 31	NONE	399.50
ANON	Trial: 31	NONE	400.00
